school,raw_F_count,raw_M_count,raw_?_count,cc_F_count,cc_M_count,ratio_F,cc_average_degree_F,cc_average_degree_M,cc_max_deg_F,cc_max_deg_M,cc_homophily_F,cc_homophily_M,b0_glm_F,b0_dispmod_glm_F,b0_glm_M,b0_dispmod_glm_M,cc_monophily_F,cc_monophily_M,chi_square_p_value_F,chi_square_p_value_M,cc_monophily_F_beta_binom,cc_monophily_M_beta_binom
comm44,564,576,7,521,499,0.51078431372549016,5.7907869481765832,5.565130260521042,10,10,0.60556844547563804,0.55959668707238019,0.60556844547563793,0.60556844547563793,0.55959668707237997,0.55959668707237997,0.0,0.0,0.8560034235872582,0.5042610220764264,9.340288491064693e-09,3.265166570620951e-08
comm45,508,533,6,346,270,0.56168831168831168,4.1127167630057802,3.8518518518518516,10,10,0.61068165846802536,0.51923076923076927,0.61068165846802513,0.61068165846802513,0.51923076922905331,0.51923076922905331,0.0,0.0,0.9436691317088002,0.5842530919107503,1.2528671359996854e-08,1.4356489731061855e-09
comm46,742,800,8,677,650,0.51017332328560661,4.8552437223042837,4.8692307692307688,10,10,0.61119561910556741,0.53270142180094793,0.61119561910556752,0.61119561910556752,0.53270142179525126,0.53270142179525126,0.0,0.0,0.9989804031572113,0.8550665528841669,2.2082745805430753e-08,3.8769935294978746e-09
comm47,486,495,17,456,397,0.53458382180539277,5.6403508771929829,5.6322418136020147,10,10,0.64152410575427676,0.52415026833631495,0.64152410575427654,0.64152410575427654,0.52415026833156309,0.52516795186127718,0.0,0.007614597295187316,0.9972477657941285,0.3500578123701331,7.789296960554129e-09,2.4179975611286152e-08
comm48,588,592,4,541,531,0.50466417910447758,5.478743068391867,5.3239171374764593,10,10,0.62145748987854255,0.54545454545454553,0.62145748987854232,0.62145748987854232,0.54545454545454541,0.54545454545454541,0.0,0.0,0.9990258127238881,0.7263767483567474,1.1219774030591063e-08,8.015997315436154e-09
comm49,954,966,9,859,748,0.53453640323584317,5.0221187427240981,4.7887700534759361,10,10,0.63467779323133977,0.5795644891122278,0.63467779323133944,0.63467779323133944,0.57956448911222802,0.58214185757586401,0.0,0.012746784250418156,0.9988308931544431,0.23077684853674907,3.98227406873156e-08,1.6814145029798396e-07
comm5,76,82,1,73,75,0.49324324324324326,6.3150684931506849,5.9733333333333336,10,10,0.54446854663774402,0.5513392857142857,0.54446854663773248,0.54446854663773248,0.5513392857142857,0.5513392857142857,0.0,0.0,0.9859683093260413,0.7114911694645584,1.6264256159179932e-09,5.745624100121481e-09
comm50,1311,1262,14,1223,1064,0.53476169654569305,5.2420278004905967,5.1390977443609023,10,10,0.62486351583216349,0.54700073152889539,0.62486351583216371,0.62486351583216371,0.54700073142702454,0.54700073142702454,0.0,0.0,0.9995457483599198,0.9343069738630502,9.976180140837916e-09,2.345015921739017e-09
comm51,356,407,27,243,206,0.54120267260579069,3.3292181069958846,2.8689320388349513,9,9,0.66254635352286784,0.59729272419627755,0.6625463535228675,0.6625463535228675,0.59729272416731782,0.60768007759633313,0.0,0.08977382187079955,0.7979783961603881,0.09131441431095288,4.2347814297516104e-08,0.04676812230553805
comm52,1061,726,12,864,531,0.61935483870967745,3.8518518518518516,4.463276836158192,10,10,0.65504807692307698,0.50970464135021099,0.65504807692307643,0.65504807692307643,0.50970464135018534,0.50970464135018534,0.0,0.0,0.981083678096516,0.9418122915700768,5.192851529556005e-08,5.1973276928327815e-09
comm53,331,306,10,231,197,0.53971962616822433,3.3679653679653678,3.3502538071065988,9,9,0.66195372750642678,0.56363636363636371,0.66195372750642656,0.66436626069774329,0.56363636360202818,0.56363636360202818,0.02247979131412557,0.0,0.3098608421181739,0.5024486492841157,1.8560679046124145e-07,1.4955706300740753e-08
comm54,593,507,8,453,363,0.55514705882352944,3.76158940397351,3.7768595041322315,10,10,0.66079812206572763,0.55506929248723569,0.66079812206572719,0.66079812206572719,0.55506929244689318,0.56010151356496352,0.0,0.06307296580010414,0.740593401604964,0.04138109260613809,1.3026757879379363e-06,8.432143185687111e-07
comm55,188,164,5,158,103,0.6053639846743295,3.2721518987341773,3.0679611650485437,9,9,0.74274661508704065,0.68354430379746833,0.74274661508703121,0.74912240822609455,0.68354430379746833,0.69433320594638948,0.04406394250027995,0.12626851081924934,0.19622478269545152,0.06527013317464059,0.07594739924121478,0.10732776010621554
comm56,236,224,7,182,152,0.54491017964071853,3.9395604395604398,3.7434210526315788,9,9,0.64993026499302642,0.65377855887521963,0.64993026499302609,0.65086542866159591,0.65377855887521941,0.6676314817114718,0.00509640522901113,0.07919381033819646,0.4398219950630037,0.06754550538064874,3.659694183971714e-09,0.06944602056118072
comm57,653,620,9,521,425,0.55073995771670192,3.9385796545105567,3.7529411764705882,10,10,0.62962962962962965,0.54357366771159876,0.62962962962963009,0.62962962962963009,0.54357366771017979,0.54357366771017979,0.0,0.0,0.9500865458164054,0.9096320058875141,3.322672655701905e-08,1.0657525544131437e-08
comm58,875,889,14,724,679,0.51603706343549538,4.3977900552486187,4.1620029455081005,10,10,0.63787688442211055,0.57572540693559793,0.63787688442211188,0.63787688442211188,0.57572540693559804,0.57746098235999255,0.0,0.010803791824307052,0.8627184864265448,0.29474052918472626,2.3698298427032773e-08,5.506380284792031e-08
comm59,529,472,6,463,338,0.57802746566791507,4.6133909287257016,4.2189349112426031,10,10,0.6544943820224719,0.5596072931276298,0.65449438202247212,0.65449438202247212,0.55960729304645129,0.56203223711005834,0.0,0.012765101143415562,0.7035317243811272,0.3204465579888671,3.349597138996441e-08,1.7043685591577736e-09
comm6,56,55,0,42,40,0.51219512195121952,4.4761904761904763,4.5250000000000004,9,8,0.54255319148936165,0.574585635359116,0.54255319146833003,0.54398415744201123,0.574585635359116,0.574585635359116,0.012613186124553658,0.0,0.4238385634779539,0.8938888701959088,1.3925310699628992e-08,1.7606517609300566e-08
comm60,607,603,6,511,447,0.53340292275574108,4.3698630136986303,4.2841163310961967,10,10,0.62695924764890276,0.5415143603133159,0.62695924764890254,0.62695924764890254,0.54151436027539435,0.54151436027539435,0.0,0.0,0.991256932600989,0.5224527376661194,2.9771063033532154e-08,1.6938193912496578e-08
comm61,943,942,13,665,573,0.53715670436187402,3.3593984962406016,3.3193717277486909,9,9,0.7081468218442255,0.59779179810725558,0.70814682184422095,0.70911997540198279,0.59779179810725536,0.60431739343856727,0.0077924733276583304,0.045782348912691305,0.3779221266170375,0.0658751103818872,0.0047825351672291586,0.02408401184103148
