school,percent_initially_unlabeled,1_MV_gender_mean_auc_wt,1_MV_gender_se_auc_wt,2_MV_gender_mean_auc_wt,2_MV_gender_se_auc_wt,1_MV_gender_mean_auc_micro,1_MV_gender_se_auc_micro,2_MV_gender_mean_auc_micro,2_MV_gender_se_auc_micro,1_MV_gender_mean_accuracy,1_MV_gender_se_accuracy,2_MV_gender_mean_accuracy,2_MV_gender_se_accuracy
Indiana69,0.5,0.56421047221430776,0.00178469081813539,0.83932562144417167,0.0045128539094187554,0.56421047221430776,0.00178469081813539,0.83932562144417167,0.0045128539094187554,0.54619006229175715,0.0037841341161616629,0.74215993046501527,0.010161484813356105
Amherst41,0.5,0.65064059212725633,0.013031966732618278,0.74903700358052594,0.028419606944830273,0.65064059212725633,0.013031966732618278,0.74903700358052594,0.028419606944830273,0.60285433070866135,0.012232078185961441,0.6555314960629921,0.0247092256777032
Caltech36,0.5,0.62928615061606519,0.027076037468898907,0.67560403971546601,0.03254511879490183,0.62928615061606519,0.027076037468898907,0.67560403971546601,0.03254511879490183,0.54342857142857137,0.027812785196886767,0.3966285714285715,0.046164532724080005
Smith60,0.5,0.69033863422097874,0.060900565048477379,0.76768173576744603,0.065249045698718353,0.69033863422097874,0.060900565048477379,0.76768173576744603,0.065249045698718353,0.81462300076161465,0.030654775701389154,0.63169840060929183,0.15942263047023433
UC33,0.5,0.58775114162116859,0.0058400383996430856,0.75372746698779991,0.0076718904759831251,0.58775114162116859,0.0058400383996430856,0.75372746698779991,0.0076718904759831251,0.55994875080076878,0.0038042822903242334,0.69997821909032665,0.0096039114927805643
Michigan23,0.5,0.66990377889577435,0.003261468333962065,0.80669866656742883,0.0051166418477660951,0.66990377889577435,0.003261468333962065,0.80669866656742883,0.0051166418477660951,0.62808713214079626,0.0035755745930296842,0.6872381708020775,0.010143510599103503
UCLA26,0.5,0.59262587540541223,0.0044591443498433695,0.76190482268252646,0.0068129574436140298,0.59262587540541223,0.0044591443498433695,0.76190482268252646,0.0068129574436140298,0.56694969220972191,0.0023873439431525102,0.71199533007853955,0.007350525389747278
Haverford76,0.5,0.6881039682583483,0.0098307318665472893,0.73127455680378373,0.032969495283352392,0.6881039682583483,0.0098307318665472893,0.73127455680378373,0.032969495283352392,0.64014814814814813,0.0077108229212877631,0.66761481481481477,0.031283837976158205
Mich67,0.5,0.64804300917209567,0.0089836113589716205,0.79751229517838129,0.013608596124438368,0.64804300917209567,0.0089836113589716205,0.79751229517838129,0.013608596124438368,0.52401574803149598,0.012845209676430991,0.32299212598425198,0.012752175273871524
Tennessee95,0.5,0.6171794390095009,0.0036319768524545187,0.80541374178170333,0.0088444925595035345,0.6171794390095009,0.0036319768524545187,0.80541374178170333,0.0088444925595035345,0.58301129234629856,0.0044904422925372538,0.62955959849435383,0.013299520544045162
UPenn7,0.5,0.67189360496659356,0.0040851500951751846,0.786747609404013,0.012416386028150754,0.67189360496659356,0.0040851500951751846,0.786747609404013,0.012416386028150754,0.62628562811039057,0.0030509601770829695,0.6587407630824913,0.015930738364450071
Vermont70,0.5,0.55915411232378709,0.0044647710773433767,0.77679981654223396,0.010130788127032754,0.55915411232378709,0.0044647710773433767,0.77679981654223396,0.010130788127032754,0.55124629080118692,0.0037182086419079966,0.7308308605341246,0.010981193183743576
