school,percent_initially_unlabeled,1_MV_gender_mean_auc_wt,1_MV_gender_se_auc_wt,2_MV_gender_mean_auc_wt,2_MV_gender_se_auc_wt,1_MV_gender_mean_auc_micro,1_MV_gender_se_auc_micro,2_MV_gender_mean_auc_micro,2_MV_gender_se_auc_micro
Temple83,0.5,0.49205693169413606,0.0056852850459034607,0.81142599075764754,0.0066795790891111219,0.49205693169413606,0.0056852850459034607,0.81142599075764754,0.0066795790891111219
Emory27,0.5,0.69567630018423765,0.006723347621030067,0.81830587038946045,0.016699025454491097,0.69567630018423765,0.006723347621030067,0.81830587038946045,0.016699025454491097
Harvard1,0.5,0.63181536266213334,0.0050227355398674081,0.75390327340550012,0.010643069872819795,0.63181536266213334,0.0050227355398674081,0.75390327340550012,0.010643069872819795
Swarthmore42,0.5,0.67037980693257138,0.014202634212826559,0.7544696149049247,0.019790245938526636,0.67037980693257138,0.014202634212826559,0.7544696149049247,0.019790245938526636
Wisconsin87,0.5,0.61696437520083591,0.003835301410005773,0.77973805798880635,0.0071436087068889684,0.61696437520083591,0.003835301410005773,0.77973805798880635,0.0071436087068889684
USC35,0.5,0.66461874189594861,0.0042142767142571789,0.78499404209449652,0.01063725490875328,0.66461874189594861,0.0042142767142571789,0.78499404209449652,0.01063725490875328
WashU32,0.5,0.6784897214201735,0.0062613536154590204,0.76614814462366709,0.011335547053004144,0.6784897214201735,0.0062613536154590204,0.76614814462366709,0.011335547053004144
Northwestern25,0.5,0.69398662509719489,0.0055597354476297576,0.80694084832050872,0.0080761182361681148,0.69398662509719489,0.0055597354476297576,0.80694084832050872,0.0080761182361681148
Georgetown15,0.5,0.58162602439170719,0.0060610198362945813,0.7564350016907343,0.018282535479950891,0.58162602439170719,0.0060610198362945813,0.7564350016907343,0.018282535479950891
JMU79,0.5,0.5538579882317608,0.0060225860238068722,0.83473943124902339,0.0056830364798537165,0.5538579882317608,0.0060225860238068722,0.83473943124902339,0.0056830364798537165
Maryland58,0.5,0.64380045643155304,0.0044883626922140943,0.80882007607866091,0.0062310633840892632,0.64380045643155304,0.0044883626922140943,0.80882007607866091,0.0062310633840892632
Lehigh96,0.5,0.68115062300931384,0.0070195696074293783,0.83797113179510907,0.020137244376805995,0.68115062300931384,0.0070195696074293783,0.83797113179510907,0.020137244376805995
Duke14,0.5,0.70960733469902171,0.0046088538031762404,0.80307862243542583,0.010530205814938371,0.70960733469902171,0.0046088538031762404,0.80307862243542583,0.010530205814938371
William77,0.5,0.7585978972473808,0.0055337484501848232,0.82674807056099742,0.013110406881792817,0.7585978972473808,0.0055337484501848232,0.82674807056099742,0.013110406881792817
Brandeis99,0.5,0.59218712281717512,0.009195957767651192,0.75280613696603982,0.027735361229886919,0.59218712281717512,0.009195957767651192,0.75280613696603982,0.027735361229886919
Cal65,0.5,0.58587664968312314,0.0058803460171198054,0.78238853703400879,0.0086416723360114717,0.58587664968312314,0.0058803460171198054,0.78238853703400879,0.0086416723360114717
Maine59,0.5,0.54843281488750495,0.0068168577900027784,0.77739974805947298,0.010192627887420903,0.54843281488750495,0.0068168577900027784,0.77739974805947298,0.010192627887420903
Williams40,0.5,0.68325727844593065,0.012735536662481482,0.74930332861500049,0.024528808624451157,0.68325727844593065,0.012735536662481482,0.74930332861500049,0.024528808624451157
Dartmouth6,0.5,0.69150336277775903,0.0079109697322814476,0.8039982716766102,0.010467215227184726,0.69150336277775903,0.0079109697322814476,0.8039982716766102,0.010467215227184726
Cornell5,0.5,0.68628752602561383,0.0041417846421328182,0.79421477492812675,0.0078618946333366396,0.68628752602561383,0.0041417846421328182,0.79421477492812675,0.0078618946333366396
UNC28,0.5,0.64727540940437733,0.0047010365044713853,0.77725473762546438,0.0071947801077092274,0.64727540940437733,0.0047010365044713853,0.77725473762546438,0.0071947801077092274
